epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,206.69,1.77756,1.04318,1.11685,0.8033,0.82557,0.83643,0.46927,1.59583,0.96674,1.09754,0.0005942,0.0005942,0.0005942
73,209.393,1.74605,1.04092,1.12053,0.80658,0.82656,0.82232,0.46536,1.59032,0.98227,1.10488,0.0005744,0.0005744,0.0005744
74,212.05,1.71429,1.0245,1.1187,0.80568,0.8444,0.82306,0.47117,1.55749,0.97609,1.095,0.0005546,0.0005546,0.0005546
75,214.69,1.67256,1.02756,1.11037,0.84957,0.87314,0.85757,0.47857,1.57887,0.96727,1.09107,0.0005348,0.0005348,0.0005348
76,217.405,1.71111,1.0079,1.10761,0.84344,0.8553,0.85149,0.48405,1.56084,0.94517,1.09056,0.000515,0.000515,0.000515
77,220.096,1.67838,0.996,1.09222,0.8395,0.85014,0.85498,0.48043,1.56019,0.95089,1.08569,0.0004952,0.0004952,0.0004952
78,222.741,1.71444,1.01472,1.11491,0.8466,0.85875,0.8637,0.46621,1.60958,0.97252,1.09362,0.0004754,0.0004754,0.0004754
79,225.422,1.64826,0.9826,1.09365,0.84771,0.8672,0.86324,0.48239,1.57536,0.93735,1.09055,0.0004556,0.0004556,0.0004556
80,228.164,1.71667,1.00712,1.09725,0.83284,0.8444,0.84992,0.48135,1.56965,0.94351,1.09076,0.0004358,0.0004358,0.0004358
81,230.809,1.733,0.99976,1.10441,0.8375,0.84936,0.84062,0.47134,1.58028,0.95422,1.09913,0.000416,0.000416,0.000416
82,233.477,1.68814,0.98891,1.10948,0.83597,0.84836,0.84287,0.48013,1.56102,0.93892,1.0971,0.0003962,0.0003962,0.0003962
83,236.147,1.74349,1.01651,1.1169,0.82432,0.83152,0.82599,0.47428,1.55424,0.96221,1.08998,0.0003764,0.0003764,0.0003764
84,238.847,1.67814,0.98783,1.09129,0.84664,0.85728,0.85675,0.47395,1.5921,0.94889,1.08855,0.0003566,0.0003566,0.0003566
85,241.51,1.69879,0.99286,1.08489,0.83172,0.8444,0.84184,0.47874,1.55264,0.94857,1.08137,0.0003368,0.0003368,0.0003368
86,244.143,1.7064,0.99359,1.11961,0.84424,0.85233,0.85551,0.4817,1.54941,0.93505,1.08188,0.000317,0.000317,0.000317
87,246.838,1.73411,1.00003,1.11682,0.82932,0.83548,0.83263,0.47298,1.56424,0.9543,1.08492,0.0002972,0.0002972,0.0002972
88,249.549,1.67051,0.97436,1.09604,0.83797,0.84539,0.854,0.48789,1.54776,0.92051,1.08597,0.0002774,0.0002774,0.0002774
89,252.266,1.65639,0.97321,1.09546,0.85067,0.86379,0.86038,0.48157,1.56542,0.92512,1.08886,0.0002576,0.0002576,0.0002576
90,254.897,1.67553,0.97304,1.09897,0.84431,0.85035,0.84937,0.48223,1.55449,0.91714,1.08866,0.0002378,0.0002378,0.0002378
91,281.818,1.59483,1.0035,1.11357,0.84009,0.8539,0.8427,0.47884,1.54622,0.93175,1.08463,0.000218,0.000218,0.000218
92,284.355,1.6335,0.99229,1.1016,0.83787,0.86044,0.86117,0.47527,1.58302,0.9513,1.08927,0.0001982,0.0001982,0.0001982
93,286.882,1.63755,0.97572,1.11192,0.83043,0.84539,0.84688,0.48496,1.53903,0.93719,1.08316,0.0001784,0.0001784,0.0001784
94,289.439,1.58101,0.95924,1.09737,0.82272,0.84044,0.83445,0.48158,1.53479,0.94418,1.08177,0.0001586,0.0001586,0.0001586
95,292.007,1.63422,0.95734,1.09739,0.85065,0.85927,0.85651,0.47906,1.58534,0.92811,1.09387,0.0001388,0.0001388,0.0001388
96,294.547,1.63132,0.9583,1.12241,0.84581,0.85728,0.85599,0.48552,1.56333,0.92,1.08861,0.000119,0.000119,0.000119
97,297.061,1.60717,0.93952,1.09953,0.84612,0.85728,0.85335,0.48717,1.55467,0.91809,1.0869,9.92e-05,9.92e-05,9.92e-05
98,299.596,1.63225,0.95324,1.10817,0.83858,0.8553,0.85183,0.48489,1.54765,0.91996,1.08684,7.94e-05,7.94e-05,7.94e-05
99,302.109,1.57977,0.9226,1.10159,0.8366,0.84737,0.85142,0.48575,1.55493,0.91862,1.08588,5.96e-05,5.96e-05,5.96e-05
100,304.633,1.57984,0.92567,1.1065,0.84202,0.85233,0.85298,0.4809,1.56233,0.92069,1.08643,3.98e-05,3.98e-05,3.98e-05
